Sentence,Word_Count,Sentence_Length,Char_Count,DLP,Dot_Load_Ratio,OVL,Similar_Shape_Density,PSC_Density,Lexical_Difficulty,Homograph_Risk,Avg_Morphological_Complexity,Domain,Text_Class,Quadrant,Readability_Level_19,DLI,DLI_10
مجلة كل الأولاد وكل البنات,5,22,22,0.23,0.32,0.0,0.23,0.18,1.0,0.2,0.6,Arts & Humanities,Foundational,Low BAREC / Low DLI,7,3,1.4
ماجد,1,4,4,0.25,0.25,0.0,0.5,0.5,1.0,0.0,0.0,Arts & Humanities,Foundational,Low BAREC / Low DLI,1,3,1.4
الأربعاء 21 يناير 1987,4,13,19,0.31,0.46,0.0,0.54,0.08,1.5,0.0,0.5,Arts & Humanities,Foundational,Low BAREC / Low DLI,8,3,1.4
الموافق 21 جمادى الأول 1407هــ,6,20,26,0.15,0.2,0.0,0.2,0.2,2.25,0.0,0.75,Arts & Humanities,Foundational,Low BAREC / Low DLI,7,4,1.8
السنة الثامنة,2,12,12,0.42,0.75,0.0,0.33,0.08,1.0,0.0,1.0,Arts & Humanities,Foundational,Low BAREC / Low DLI,5,5,2.3
العدد 413,2,5,8,0.0,0.0,0.0,0.6,0.2,1.0,0.0,1.0,Arts & Humanities,Foundational,Low BAREC / Low DLI,5,4,1.8
الثمن درهمان,2,11,11,0.27,0.45,0.0,0.45,0.27,1.5,0.0,0.5,Arts & Humanities,Foundational,Low BAREC / Low DLI,5,4,1.8
عصابة الخمسة.. والمستحيلات الثلاثة,6,29,31,0.34,0.69,0.0,0.41,0.17,1.5,0.0,1.0,Arts & Humanities,Foundational,Low BAREC / High DLI,6,6,2.7
قصة كاملة..,4,8,10,0.38,0.75,0.0,0.25,0.25,1.5,0.5,0.0,Arts & Humanities,Foundational,Low BAREC / High DLI,2,6,2.7
صفحة (5),4,4,7,0.5,0.75,0.0,0.75,0.25,1.0,0.0,0.0,Arts & Humanities,Foundational,Low BAREC / High DLI,2,6,2.7
نستقبلك بابتسامة,2,15,15,0.53,0.8,0.0,0.6,0.13,1.0,0.0,1.0,Arts & Humanities,Foundational,Low BAREC / High DLI,10,7,3.2
أكيد السحاب عنده رشح!!,6,17,19,0.24,0.41,0.0,0.65,0.29,1.75,0.25,0.5,Arts & Humanities,Foundational,Low BAREC / High DLI,7,7,3.2
مفاجآت العام الجديد,3,17,17,0.29,0.41,0.0,0.47,0.29,1.67,0.0,0.67,Arts & Humanities,Foundational,Low BAREC / Low DLI,5,5,2.3
المفاجأة الثانية,2,15,15,0.47,0.8,0.0,0.33,0.13,2.0,0.0,1.0,Arts & Humanities,Foundational,Low BAREC / High DLI,6,6,2.7
في الأعوام السابقة، كنا نكتب عن هواية واحدة، هي هواية جمع طوابع البريد..,17,56,60,0.36,0.55,0.0,0.46,0.23,1.85,0.31,0.23,Arts & Humanities,Foundational,Low BAREC / High DLI,10,7,3.2
ورغم اقتناعي بأهمية هذه الهواية وفائدتها الثقافية بالنسبة للأصدقاء، إلا أنه كان من الضروري إعطاء اهتمام بالهوايات الأخرى التي يمارسها الأولاد والبنات.,24,127,129,0.31,0.49,0.0,0.39,0.16,1.91,0.05,0.91,Arts & Humanities,Foundational,High BAREC / Low DLI,12,5,2.3
وللحقيقة فإن أصدقاء ماجد هم أصحاب الفضل في ذلك.,10,38,39,0.37,0.53,0.0,0.5,0.18,1.67,0.11,0.56,Arts & Humanities,Foundational,Low BAREC / High DLI,10,7,3.2
ومع بداية العام التاسع للمجلة، سوف أخصص ثلاث صفحات كاملة للهوايات.,13,54,56,0.28,0.5,0.0,0.41,0.22,1.64,0.09,0.64,Arts & Humanities,Foundational,Low BAREC / Low DLI,8,4,1.8
من الهوايات الجديدة التي سوف أكتب عنها هواية الرياضة.,10,44,45,0.39,0.64,0.0,0.43,0.16,1.67,0.33,0.44,Arts & Humanities,Foundational,Low BAREC / High DLI,10,8,3.6
وكما تعلمون فإن الصحف تخصص صفحات يومية للحديث عن الرياضة، وعن أخبار المباريات.,15,64,66,0.38,0.58,0.0,0.56,0.2,1.54,0.15,0.62,Arts & Humanities,Foundational,Low BAREC / High DLI,10,7,3.2
لن أدخل في منافسة معها.,6,18,19,0.39,0.5,0.0,0.5,0.28,1.5,0.0,0.2,Arts & Humanities,Foundational,Low BAREC / Low DLI,8,4,1.8
سوف أقدم في هذا الباب مواد جديدة.,8,26,27,0.38,0.54,0.0,0.54,0.15,1.71,0.14,0.14,Arts & Humanities,Foundational,Low BAREC / Low DLI,8,5,2.3
ولنترك الحديث عنها الآن لتقرأوها بأنفسكم على صفحات ماجد وتحكموا عليها.,12,59,60,0.27,0.42,0.0,0.47,0.27,1.45,0.09,1.0,Arts & Humanities,Foundational,Low BAREC / Low DLI,8,5,2.3
ومن الهوايات التي سأهتم بها أيضًا هواية جمع العملات.,10,42,43,0.31,0.52,0.02,0.36,0.26,1.89,0.22,0.56,Arts & Humanities,Foundational,Low BAREC / High DLI,10,7,3.2
ورغم أنها هواية غير منتشرة في الوطن العربي، إلا أن هناك الكثيرين ممن يهتمون بها.,17,64,66,0.41,0.64,0.0,0.48,0.23,1.67,0.2,0.47,Arts & Humanities,Foundational,High BAREC / High DLI,12,7,3.2
باب الهوايات الجديد.. هو ثاني المفاجآت.,9,31,34,0.39,0.61,0.0,0.45,0.16,1.5,0.17,0.5,Arts & Humanities,Foundational,High BAREC / High DLI,11,6,2.7
أما المفاجأة الثالثة فسوف أتحدث عنها في الأسبوع القادم بإذن الله.,12,54,55,0.33,0.54,0.0,0.43,0.17,1.5,0.0,0.64,Arts & Humanities,Foundational,Low BAREC / Low DLI,8,5,2.3
مع محبتي،،،,5,7,10,0.43,0.71,0.0,0.71,0.57,1.0,0.0,0.5,Arts & Humanities,Foundational,Low BAREC / High DLI,7,8,3.6
ماجد,1,4,4,0.25,0.25,0.0,0.5,0.5,1.0,0.0,0.0,Arts & Humanities,Foundational,Low BAREC / Low DLI,1,3,1.4
بين ماجد وأصدقائه,3,15,15,0.33,0.47,0.0,0.53,0.2,2.0,0.33,0.67,Arts & Humanities,Foundational,Low BAREC / High DLI,7,7,3.2
هنا يلتقي ماجد كل أسبوع بأصدقائه,6,27,27,0.33,0.52,0.0,0.52,0.22,1.17,0.0,0.33,Arts & Humanities,Foundational,Low BAREC / Low DLI,7,4,1.8
